Extracted:,United Nations High Commissioner for Refugees
Date extracted:,15/08/2023 17:44:13
Last updated:,15/08/2023 17:44:13

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
2023 data (if included) as of:, June 2023
Country of origin:,"AFG,IRQ,SYR"
Country of asylum:,"ALB,ARM,AZE,BLR,BIH,HRV,CYP,CZE,GEO,HUN,MLT,MKD,MDA,ROU,RUS,SRB,TUR,UKR"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2015,AFG,"Afghanistan",All others,"All others",NZL,"New Zealand",151
2015,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1297
2015,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NOR,"Norway",372
2015,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",3
2015,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",2
2015,SYR,"Syrian Arab Rep.",All others,"All others",CHE,"Switzerland",548
2015,IRQ,"Iraq",BSN,"Bosnia and Herzegovina",CAN,"Canada",1
2015,AFG,"Afghanistan",All others,"All others",SWE,"Sweden",211
2015,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",67
2015,IRQ,"Iraq",All others,"All others",NOR,"Norway",4
2015,SYR,"Syrian Arab Rep.",UKR,"Ukraine",DNK,"Denmark",1
2015,AFG,"Afghanistan",TUR,"Turkiye",CAN,"Canada",20
2015,AFG,"Afghanistan",RUS,"Russian Federation",CAN,"Canada",51
2015,SYR,"Syrian Arab Rep.",All others,"All others",DEU,"Germany",1627
2015,AFG,"Afghanistan",All others,"All others",USA,"United States of America",710
2015,SYR,"Syrian Arab Rep.",All others,"All others",PRT,"Portugal",27
2015,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",49
2016,AFG,"Afghanistan",RUS,"Russian Federation",CAN,"Canada",10
2016,IRQ,"Iraq",RUS,"Russian Federation",DNK,"Denmark",1
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",2216
2016,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",492
2016,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",279
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",450
